Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1561321041000,1561321,1398347034961,0.10055647,0.110133275,9.394848
1561331051000,1561331,1398347034971,0.079008654,0.12090719,9.382876
1561341091000,1561341,1398347034981,0.088585466,0.12330139,9.387665
1561351101000,1561351,1398347034991,0.077811554,0.130484,9.390059
1561361019000,1561361,1398347035001,0.079008654,0.1316811,9.39365
1561371059000,1561371,1398347035011,0.08140286,0.12330139,9.384073
1561381069000,1561381,1398347035021,0.09696517,0.09816227,9.394848
1561391048000,1561391,1398347035032,0.088585466,0.1328782,9.412804
1561401058000,1561401,1398347035041,0.088585466,0.11851298,9.390059
1561410976000,1561411,1398347035051,0.089782566,0.1340753,9.416395
1561421108000,1561421,1398347035061,0.092176765,0.11971009,9.384073
1561430996000,1561431,1398347035071,0.092176765,0.11971009,9.384073
1561441097000,1561441,1398347035081,0.088585466,0.110133275,9.404425
1561451015000,1561451,1398347035091,0.10175357,0.11851298,9.399636
1561461086000,1561461,1398347035102,0.10175357,0.11252748,9.40203
1561471340000,1561471,1398347035112,0.088585466,0.1340753,9.398438
1561481075000,1561481,1398347035122,0.089782566,0.11731588,9.386468
1561491054000,1561491,1398347035131,0.110133275,0.110133275,9.391256
1561501094000,1561501,1398347035141,0.10055647,0.11851298,9.39365
1561511043000,1561511,1398347035151,0.08020575,0.12569559,9.423578
1561521053000,1561521,1398347035162,0.07182605,0.12808979,9.414001
1561531063000,1561532,1398347035172,0.090979666,0.12449849,9.379285
1561541073000,1561541,1398347035181,0.09696517,0.1376666,9.412804
1561551021000,1561551,1398347035191,0.077811554,0.1340753,9.39365
1561561153000,1561561,1398347035202,0.077811554,0.1340753,9.39365
1561571071000,1561571,1398347035211,0.07182605,0.12330139,9.391256
1561581020000,1561581,1398347035221,0.090979666,0.11611878,9.387665
1561590999000,1561591,1398347035231,0.09935937,0.12210429,9.384073
1561601101000,1561601,1398347035241,0.08499416,0.1412579,9.40203
1561611049000,1561611,1398347035251,0.10295067,0.12210429,9.40203
1561621120000,1561622,1398347035262,0.093373865,0.12689269,9.398438
1561631069000,1561631,1398347035271,0.089782566,0.1388637,9.40203
1561641201000,1561641,1398347035282,0.08499416,0.1316811,9.375694
1561651088000,1561651,1398347035291,0.107739076,0.1316811,9.399636
1561661068000,1561661,1398347035301,0.08619126,0.12090719,9.394848
1561671047000,1561671,1398347035311,0.08738836,0.11372458,9.408015
1561681087000,1561681,1398347035322,0.08499416,0.11492168,9.414001
1561691127000,1561691,1398347035332,0.08499416,0.11492168,9.414001
1561701076000,1561701,1398347035341,0.089782566,0.1316811,9.396045
1561711086000,1561711,1398347035351,0.09696517,0.142455,9.387665
1561721096000,1561721,1398347035361,0.095768064,0.11492168,9.40203
1561731044000,1561731,1398347035372,0.09696517,0.11611878,9.404425
1561741085000,1561741,1398347035381,0.089782566,0.090979666,9.409213
1561751033000,1561751,1398347035391,0.06584055,0.10055647,9.382876
1561761074000,1561761,1398347035401,0.07182605,0.11611878,9.382876
1561771053000,1561771,1398347035411,0.08259996,0.130484,9.386468
1561781032000,1561781,1398347035421,0.08738836,0.11731588,9.391256
1561791011000,1561791,1398347035431,0.09696517,0.12928689,9.394848
1561801052000,1561801,1398347035441,0.08738836,0.12569559,9.41041
1561811031000,1561811,1398347035451,0.09935937,0.12808979,9.421184
1561821041000,1561821,1398347035461,0.09935937,0.12808979,9.421184
1561831051000,1561831,1398347035471,0.092176765,0.11252748,9.403227
1561841091000,1561841,1398347035481,0.094570965,0.1340753,9.386468
1561851009000,1561851,1398347035491,0.090979666,0.1352724,9.41879
1561861171000,1561861,1398347035501,0.08499416,0.12569559,9.40203
1561871029000,1561871,1398347035511,0.08379706,0.12928689,9.406818
1561881099000,1561881,1398347035521,0.10055647,0.1352724,9.403227
1561891018000,1561891,1398347035531,0.10055647,0.1436521,9.38168
1561901333000,1561901,1398347035541,0.079008654,0.11851298,9.41041
1561911251000,1561911,1398347035551,0.094570965,0.11971009,9.41041
1561921016000,1561921,1398347035561,0.08619126,0.12569559,9.411607
1561931026000,1561931,1398347035571,0.09816227,0.11731588,9.391256
1561941036000,1561941,1398347035581,0.088585466,0.11971009,9.41041
1561951046000,1561951,1398347035591,0.094570965,0.12210429,9.414001
1561961147000,1561961,1398347035602,0.094570965,0.12210429,9.414001
1561971309000,1561971,1398347035612,0.079008654,0.12330139,9.400833
1561981075000,1561981,1398347035622,0.08379706,0.12210429,9.41879
1561991054000,1561991,1398347035631,0.09816227,0.12928689,9.394848
1562001064000,1562001,1398347035641,0.08619126,0.1376666,9.406818
1562011043000,1562011,1398347035651,0.06584055,0.15203181,9.396045
1562021053000,1562021,1398347035661,0.090979666,0.1400608,9.398438
1562031032000,1562031,1398347035671,0.08738836,0.1364695,9.404425
1562041073000,1562041,1398347035681,0.10654198,0.12210429,9.423578
1562051021000,1562051,1398347035691,0.08499416,0.11611878,9.400833
1562061062000,1562061,1398347035702,0.094570965,0.12330139,9.411607
1562071071000,1562071,1398347035711,0.076614454,0.1364695,9.41041
1562081234000,1562081,1398347035722,0.08619126,0.12689269,9.425972
1562091060000,1562091,1398347035732,0.08619126,0.12689269,9.425972
1562101070000,1562101,1398347035741,0.090979666,0.11611878,9.404425
1562111324000,1562111,1398347035752,0.075417355,0.1316811,9.403227
1562121120000,1562121,1398347035761,0.07062895,0.11851298,9.414001
1562131130000,1562131,1398347035772,0.092176765,0.11492168,9.416395
1562141048000,1562141,1398347035781,0.08379706,0.11731588,9.388862
1562151058000,1562151,1398347035791,0.10414778,0.12210429,9.4295635
1562161068000,1562161,1398347035801,0.08379706,0.11372458,9.40203
1562171047000,1562171,1398347035811,0.08140286,0.12808979,9.397242
1562181057000,1562181,1398347035822,0.07182605,0.1352724,9.394848
1562191097000,1562191,1398347035831,0.094570965,0.12210429,9.405622
1562201015000,1562201,1398347035841,0.08020575,0.12330139,9.41879
1562211086000,1562211,1398347035851,0.077811554,0.10414778,9.400833
1562221035000,1562221,1398347035861,0.077811554,0.10414778,9.400833
1562231044000,1562231,1398347035872,0.095768064,0.10055647,9.403227
1562241024000,1562241,1398347035881,0.08619126,0.110133275,9.38168
1562251033000,1562251,1398347035892,0.08619126,0.11133038,9.385271
1562261043000,1562261,1398347035901,0.079008654,0.108936176,9.390059
1562271022000,1562271,1398347035911,0.06584055,0.12210429,9.408015
1562281215000,1562282,1398347035922,0.090979666,0.12928689,9.394848
1562291073000,1562291,1398347035931,0.093373865,0.12569559,9.388862
1562301326000,1562301,1398347035942,0.06823475,0.1316811,9.408015
1562311062000,1562311,1398347035951,0.08619126,0.12449849,9.433155
1562322261000,1562323,1398347035963,0.08259996,0.14963761,9.415198
1562331203000,1562332,1398347035972,0.089782566,0.1388637,9.441534
1562341121000,1562341,1398347035982,0.09696517,0.11971009,9.41041
1562351131000,1562351,1398347035992,0.089782566,0.1316811,9.411607
1562361049000,1562361,1398347036001,0.089782566,0.1316811,9.411607
1562371059000,1562373,1398347036013,0.08738836,0.1376666,9.387665
1562381038000,1562382,1398347036022,0.10175357,0.12330139,9.396045
1562391079000,1562391,1398347036031,0.090979666,0.12090719,9.40203
1562401088000,1562401,1398347036042,0.08020575,0.12569559,9.388862
1562411068000,1562411,1398347036051,0.092176765,0.1364695,9.405622
1562421047000,1562424,1398347036064,0.09935937,0.12449849,9.400833
1562430996000,1562431,1398347036071,0.10534488,0.14604631,9.399636
1562441036000,1562441,1398347036081,0.10534488,0.107739076,9.387665
1562451046000,1562451,1398347036091,0.10295067,0.1448492,9.417592
1562461025000,1562461,1398347036102,0.094570965,0.12449849,9.400833
1562471004000,1562475,1398347036115,0.10055647,0.110133275,9.406818
1562481075000,1562482,1398347036122,0.077811554,0.11731588,9.43076
1562491054000,1562492,1398347036132,0.077811554,0.11731588,9.43076
1562501156000,1562502,1398347036142,0.095768064,0.1352724,9.378088
1562511104000,1562511,1398347036152,0.079008654,0.12928689,9.394848
1562521145000,1562524,1398347036164,0.095768064,0.1316811,9.415198
1562531032000,1562531,1398347036171,0.08020575,0.1436521,9.39365
1562541073000,1562541,1398347036182,0.090979666,0.1436521,9.385271
1562551021000,1562552,1398347036192,0.090979666,0.1400608,9.394848
1562561092000,1562562,1398347036202,0.094570965,0.12449849,9.409213
1562571712000,1562574,1398347036214,0.09935937,0.1364695,9.415198
1562581051000,1562581,1398347036222,0.11133038,0.11611878,9.419987
1562591030000,1562591,1398347036231,0.093373865,0.11133038,9.411607
1562601070000,1562601,1398347036241,0.08259996,0.1316811,9.397242
1562611080000,1562611,1398347036251,0.10534488,0.12928689,9.396045
1562621120000,1562621,1398347036262,0.10534488,0.12928689,9.396045
1562631038000,1562631,1398347036272,0.08738836,0.12330139,9.406818
1562641048000,1562641,1398347036281,0.09816227,0.1388637,9.390059
1562651027000,1562651,1398347036291,0.088585466,0.1400608,9.408015
1562661068000,1562661,1398347036301,0.092176765,0.11611878,9.416395
1562671077000,1562671,1398347036311,0.09816227,0.1328782,9.416395
1562681087000,1562681,1398347036322,0.107739076,0.10534488,9.3733
1562691097000,1562691,1398347036331,0.088585466,0.12569559,9.382876
1562701046000,1562701,1398347036341,0.06943185,0.12928689,9.39365
1562711025000,1562711,1398347036351,0.06584055,0.1328782,9.385271
1562721096000,1562722,1398347036362,0.08738836,0.12090719,9.398438
1562731075000,1562731,1398347036371,0.08379706,0.130484,9.417592
1562741726000,1562742,1398347036382,0.10654198,0.1352724,9.41879
1562751033000,1562751,1398347036391,0.10654198,0.1352724,9.41879
1562761104000,1562761,1398347036401,0.07182605,0.14724341,9.400833
1562771053000,1562772,1398347036412,0.074220255,0.1328782,9.403227
1562781063000,1562781,1398347036422,0.074220255,0.142455,9.415198
1562791988000,1562792,1398347036432,0.094570965,0.1328782,9.408015
1562801052000,1562801,1398347036441,0.08259996,0.130484,9.400833
1562811031000,1562811,1398347036451,0.08499416,0.12928689,9.408015
1562821041000,1562821,1398347036461,0.08379706,0.11492168,9.386468
1562831020000,1562831,1398347036472,0.077811554,0.12210429,9.405622
1562841091000,1562841,1398347036481,0.094570965,0.12090719,9.397242
1562851009000,1562851,1398347036491,0.08499416,0.110133275,9.412804
1562861080000,1562861,1398347036501,0.092176765,0.11731588,9.40203
1562871029000,1562871,1398347036511,0.08020575,0.1340753,9.40203
1562881038000,1562881,1398347036521,0.075417355,0.1316811,9.405622
1562891170000,1562891,1398347036532,0.075417355,0.1316811,9.405622
1562901088000,1562901,1398347036541,0.079008654,0.1328782,9.421184
1562911220000,1562911,1398347036552,0.10414778,0.1436521,9.416395
1562921047000,1562921,1398347036561,0.10654198,0.142455,9.415198
1562931026000,1562931,1398347036572,0.088585466,0.130484,9.416395
1562941097000,1562942,1398347036582,0.10414778,0.130484,9.382876
1562951076000,1562951,1398347036591,0.09935937,0.130484,9.3733
1562961818000,1562962,1398347036602,0.076614454,0.15203181,9.378088
1562971065000,1562971,1398347036611,0.088585466,0.11252748,9.394848
1562981075000,1562981,1398347036622,0.06464344,0.12808979,9.390059
1562990993000,1562991,1398347036631,0.090979666,0.1316811,9.404425
1563001064000,1563007,1398347036647,0.092176765,0.12569559,9.388862
1563011104000,1563011,1398347036652,0.053869538,0.1388637,9.386468
1563021053000,1563021,1398347036661,0.053869538,0.1388637,9.386468
1563031002000,1563031,1398347036671,0.073023155,0.11252748,9.412804
1563041042000,1563041,1398347036681,0.09696517,0.12090719,9.41041
1563051021000,1563051,1398347036691,0.08499416,0.11851298,9.417592
1563061062000,1563061,1398347036701,0.08259996,0.12928689,9.417592
1563071010000,1563071,1398347036711,0.08499416,0.1328782,9.404425
1563081051000,1563081,1398347036721,0.077811554,0.1364695,9.384073
1563091060000,1563091,1398347036731,0.088585466,0.1436521,9.411607
1563101040000,1563101,1398347036741,0.10534488,0.1388637,9.416395
1563110988000,1563111,1398347036751,0.08140286,0.14844051,9.399636
1563121059000,1563121,1398347036761,0.075417355,0.142455,9.396045
1563131069000,1563131,1398347036771,0.10414778,0.1376666,9.403227
1563141018000,1563141,1398347036781,0.12330139,0.12808979,9.406818
1563151241000,1563151,1398347036792,0.12330139,0.12808979,9.406818
1563161098000,1563161,1398347036801,0.090979666,0.12928689,9.392453
1563171047000,1563171,1398347036811,0.08499416,0.11971009,9.403227
1563181087000,1563181,1398347036821,0.077811554,0.1412579,9.414001
1563191036000,1563191,1398347036832,0.08020575,0.142455,9.408015
1563201137000,1563201,1398347036842,0.093373865,0.1604115,9.369708
1563211025000,1563211,1398347036851,0.089782566,0.1388637,9.406818
1563221126000,1563221,1398347036862,0.08738836,0.1328782,9.41879
1563231075000,1563231,1398347036872,0.08259996,0.12449849,9.409213
1563241085000,1563241,1398347036881,0.08499416,0.12330139,9.38168
1563251003000,1563251,1398347036891,0.10295067,0.10654198,9.414001
1563261135000,1563261,1398347036901,0.09696517,0.12928689,9.384073
1563271022000,1563271,1398347036911,0.07062895,0.10414778,9.405622
1563281093000,1563282,1398347036922,0.073023155,0.1412579,9.394848
1563291011000,1563291,1398347036931,0.073023155,0.1412579,9.394848
1563301082000,1563301,1398347036941,0.073023155,0.142455,9.400833
1563311092000,1563311,1398347036951,0.08020575,0.12449849,9.385271
1563321041000,1563321,1398347036961,0.07182605,0.10414778,9.398438
1563331020000,1563331,1398347036972,0.08499416,0.10654198,9.404425
1563341152000,1563342,1398347036982,0.06943185,0.1436521,9.399636
1563351192000,1563352,1398347036992,0.077811554,0.1412579,9.412804
1563361080000,1563361,1398347037001,0.09816227,0.12928689,9.408015
1563371029000,1563371,1398347037011,0.093373865,0.11731588,9.421184
1563381282000,1563382,1398347037022,0.08379706,0.12569559,9.398438
1563391048000,1563391,1398347037031,0.08140286,0.130484,9.39365
1563401241000,1563401,1398347037041,0.090979666,0.1328782,9.388862
1563411007000,1563411,1398347037051,0.10534488,0.12569559,9.411607
1563421077000,1563421,1398347037061,0.10534488,0.12569559,9.411607
1563430996000,1563431,1398347037071,0.10414778,0.130484,9.403227
1563441036000,1563441,1398347037081,0.08499416,0.12808979,9.384073
1563451259000,1563452,1398347037092,0.094570965,0.130484,9.391256
1563461177000,1563467,1398347037107,0.08499416,0.11851298,9.421184
1563471065000,1563471,1398347037111,0.093373865,0.12928689,9.403227
1563481044000,1563481,1398347037121,0.073023155,0.130484,9.416395
1563491054000,1563491,1398347037131,0.088585466,0.11492168,9.399636
1563501064000,1563501,1398347037142,0.090979666,0.12689269,9.415198
1563510982000,1563511,1398347037151,0.093373865,0.11971009,9.39365
1563521053000,1563521,1398347037161,0.08140286,0.1376666,9.415198
1563531032000,1563531,1398347037171,0.08020575,0.1352724,9.400833
1563541073000,1563541,1398347037181,0.088585466,0.130484,9.409213
1563554256000,1563554,1398347037195,0.088585466,0.1328782,9.421184
1563561092000,1563561,1398347037201,0.088585466,0.1328782,9.421184
1563571132000,1563571,1398347037211,0.093373865,0.130484,9.408015
1563581264000,1563581,1398347037222,0.075417355,0.11252748,9.40203
1563591121000,1563591,1398347037232,0.08738836,0.1352724,9.405622
1563601253000,1563601,1398347037242,0.08619126,0.130484,9.41879
1563611049000,1563611,1398347037251,0.09935937,0.1448492,9.39365
1563621639000,1563622,1398347037262,0.08140286,0.11851298,9.406818
1563631008000,1563631,1398347037271,0.10175357,0.12210429,9.392453
1563641170000,1563641,1398347037282,0.09935937,0.1328782,9.403227
1563650997000,1563651,1398347037291,0.10175357,0.12449849,9.40203
1563661037000,1563661,1398347037301,0.092176765,0.10414778,9.403227
1563670986000,1563671,1398347037311,0.095768064,0.12090719,9.361329
1563681057000,1563681,1398347037321,0.095768064,0.12090719,9.361329
1563692287000,1563692,1398347037333,0.09816227,0.12928689,9.414001
1563701137000,1563701,1398347037341,0.09816227,0.12928689,9.414001
1563711055000,1563711,1398347037351,0.090979666,0.11851298,9.411607
1563721157000,1563721,1398347037362,0.092176765,0.10414778,9.403227
1563731014000,1563731,1398347037372,0.08619126,0.12689269,9.391256
1563741024000,1563741,1398347037381,0.08738836,0.12808979,9.391256
1563751003000,1563751,1398347037391,0.08619126,0.11851298,9.404425
1563761043000,1563761,1398347037401,0.092176765,0.1388637,9.415198
1563771022000,1563791,1398347037431,0.08020575,0.130484,9.408015
1563782375000,1563791,1398347037431,0.090979666,0.12210429,9.403227
1563791164000,1563791,1398347037431,0.08259996,0.11133038,9.414001
1563802272000,1563802,1398347037442,0.10055647,0.1340753,9.397242
1563811062000,1563811,1398347037451,0.110133275,0.10534488,9.390059
1563821102000,1563822,1398347037462,0.110133275,0.10534488,9.390059
1563830989000,1563833,1398347037473,0.09935937,0.11851298,9.411607
1563841121000,1563841,1398347037481,0.093373865,0.11851298,9.425972
1563851040000,1563851,1398347037491,0.088585466,0.11492168,9.417592
1563861416000,1563861,1398347037502,0.08379706,0.12090719,9.399636
1563871029000,1563872,1398347037511,0.08379706,0.11252748,9.400833
1563881130000,1563881,1398347037522,0.09935937,0.11731588,9.40203
1563891048000,1563891,1398347037531,0.10175357,0.12808979,9.414001
1563901088000,1563901,1398347037541,0.08738836,0.1364695,9.397242
1563911007000,1563911,1398347037551,0.093373865,0.1400608,9.384073
1563921108000,1563921,1398347037561,0.079008654,0.11731588,9.374496
1563931057000,1563931,1398347037571,0.09696517,0.1376666,9.406818
1563941066000,1563941,1398347037581,0.093373865,0.1352724,9.394848
1563952083000,1563952,1398347037592,0.10534488,0.12210429,9.409213
1563961055000,1563961,1398347037601,0.10534488,0.12210429,9.409213
1563971218000,1563971,1398347037611,0.092176765,0.12210429,9.41041
1563981105000,1563981,1398347037621,0.08379706,0.130484,9.419987
1563991054000,1563991,1398347037631,0.10175357,0.11492168,9.408015
1564001064000,1564001,1398347037641,0.107739076,0.12330139,9.414001
1564011013000,1564011,1398347037652,0.089782566,0.12210429,9.397242
1564021083000,1564021,1398347037661,0.089782566,0.12569559,9.41879
1564031063000,1564031,1398347037671,0.08379706,0.12090719,9.406818
1564041561000,1564042,1398347037682,0.08619126,0.12569559,9.408015
1564051052000,1564051,1398347037691,0.092176765,0.12808979,9.408015
1564061702000,1564062,1398347037702,0.093373865,0.1316811,9.409213
1564071041000,1564071,1398347037711,0.095768064,0.1352724,9.405622
1564081051000,1564081,1398347037721,0.095768064,0.1352724,9.405622
1564090999000,1564091,1398347037731,0.079008654,0.1340753,9.39365
1564101070000,1564101,1398347037741,0.06703765,0.1328782,9.409213
1564111080000,1564111,1398347037751,0.074220255,0.11372458,9.400833
1564121059000,1564121,1398347037761,0.08738836,0.12928689,9.40203
1564131038000,1564131,1398347037771,0.08259996,0.11971009,9.431957
1564141048000,1564141,1398347037781,0.08140286,0.12449849,9.423578
1564151058000,1564151,1398347037791,0.062249243,0.12928689,9.406818
1564161007000,1564161,1398347037801,0.08259996,0.1412579,9.370906
1564171077000,1564171,1398347037811,0.090979666,0.12210429,9.415198
1564181148000,1564181,1398347037821,0.10055647,0.11252748,9.41041
1564191005000,1564191,1398347037831,0.06943185,0.11971009,9.416395
1564201046000,1564201,1398347037841,0.089782566,0.12808979,9.403227
1564211086000,1564211,1398347037851,0.089782566,0.12808979,9.403227
1564221065000,1564221,1398347037861,0.077811554,0.15682021,9.398438
1564231472000,1564231,1398347037872,0.08619126,0.1328782,9.387665
1564241115000,1564241,1398347037881,0.11851298,0.1400608,9.403227
1564251033000,1564251,1398347037891,0.09935937,0.11731588,9.392453
1564261531000,1564262,1398347037902,0.08140286,0.12569559,9.394848
1564271053000,1564271,1398347037911,0.08499416,0.12449849,9.414001
1564281826000,1564282,1398347037922,0.10414778,0.12689269,9.397242
1564290981000,1564291,1398347037931,0.094570965,0.1328782,9.390059
1564301052000,1564301,1398347037941,0.08499416,0.12928689,9.40203
1564311092000,1564311,1398347037951,0.088585466,0.14724341,9.403227
1564321071000,1564321,1398347037961,0.10175357,0.1376666,9.431957
1564331020000,1564331,1398347037971,0.08738836,0.1388637,9.425972
1564341121000,1564341,1398347037981,0.073023155,0.1340753,9.408015
1564351040000,1564351,1398347037991,0.073023155,0.1340753,9.408015
1564361110000,1564361,1398347038001,0.08499416,0.11252748,9.391256
1564371090000,1564371,1398347038011,0.12090719,0.107739076,9.386468
1564381069000,1564381,1398347038022,0.090979666,0.130484,9.416395
1564391109000,1564391,1398347038031,0.08499416,0.130484,9.415198
1564401271000,1564401,1398347038041,0.06823475,0.1364695,9.39365
1564411037000,1564411,1398347038051,0.089782566,0.10534488,9.40203
1564421047000,1564421,1398347038061,0.09935937,0.11611878,9.378088
1564431606000,1564432,1398347038072,0.09816227,0.11731588,9.398438
1564441127000,1564441,1398347038081,0.077811554,0.12449849,9.397242
1564451656000,1564452,1398347038092,0.08619126,0.14724341,9.400833
1564461086000,1564461,1398347038101,0.10654198,0.1376666,9.396045
1564471065000,1564471,1398347038111,0.110133275,0.1412579,9.390059
1564481533000,1564482,1398347038122,0.110133275,0.1412579,9.390059
1564491024000,1564491,1398347038131,0.08499416,0.12449849,9.376891
1564501156000,1564501,1398347038141,0.088585466,0.11971009,9.376891
1564511043000,1564511,1398347038151,0.08499416,0.12449849,9.412804
1564521083000,1564521,1398347038161,0.089782566,0.1316811,9.384073
1564531093000,1564531,1398347038171,0.092176765,0.12449849,9.404425
1564541134000,1564541,1398347038181,0.10175357,0.1316811,9.40203
1564551082000,1564551,1398347038191,0.08140286,0.12090719,9.405622
1564561123000,1564561,1398347038201,0.10295067,0.12090719,9.415198
1564571041000,1564571,1398347038211,0.08619126,0.110133275,9.400833
1564581081000,1564581,1398347038221,0.08499416,0.1364695,9.390059
1564591060000,1564591,1398347038231,0.08379706,0.12928689,9.400833
1564601162000,1564601,1398347038241,0.08140286,0.1388637,9.424775
1564611049000,1564611,1398347038251,0.08140286,0.1388637,9.424775
1564621029000,1564621,1398347038261,0.08738836,0.1316811,9.415198
1564631038000,1564631,1398347038271,0.089782566,0.12569559,9.388862
1564641079000,1564641,1398347038281,0.094570965,0.11971009,9.398438
1564651058000,1564651,1398347038291,0.107739076,0.1400608,9.409213
1564661068000,1564661,1398347038301,0.08379706,0.11971009,9.431957
1564671810000,1564672,1398347038312,0.09816227,0.12569559,9.394848
1564681087000,1564681,1398347038321,0.08020575,0.130484,9.405622
1564691066000,1564691,1398347038331,0.06943185,0.1400608,9.427169
1564701595000,1564702,1398347038342,0.08738836,0.1328782,9.404425
1564711086000,1564711,1398347038351,0.095768064,0.1388637,9.387665
1564721065000,1564721,1398347038361,0.08738836,0.12330139,9.403227
1564731075000,1564731,1398347038371,0.06943185,0.130484,9.404425
1564741085000,1564741,1398347038381,0.06943185,0.130484,9.404425
1564751064000,1564751,1398347038391,0.073023155,0.1328782,9.411607
1564761074000,1564761,1398347038401,0.10654198,0.12210429,9.403227
1564771022000,1564771,1398347038411,0.08499416,0.10654198,9.396045
1564781032000,1564781,1398347038421,0.11492168,0.11971009,9.384073
1564791011000,1564791,1398347038431,0.10175357,0.1328782,9.391256
1564801052000,1564801,1398347038441,0.089782566,0.1364695,9.384073
1564811000000,1564811,1398347038451,0.090979666,0.12808979,9.404425
1564821102000,1564821,1398347038461,0.08619126,0.12928689,9.384073
1564831112000,1564831,1398347038471,0.10414778,0.12330139,9.38168
1564841091000,1564841,1398347038481,0.09816227,0.1316811,9.378088
1564851070000,1564851,1398347038491,0.08020575,0.11851298,9.394848
1564861080000,1564861,1398347038501,0.088585466,0.11731588,9.408015
1564871029000,1564871,1398347038511,0.08499416,0.10654198,9.392453
1564881099000,1564881,1398347038521,0.08499416,0.10654198,9.392453
1564891811000,1564892,1398347038532,0.07182605,0.12449849,9.384073
1564901058000,1564901,1398347038541,0.08020575,0.1448492,9.419987
1564911007000,1564911,1398347038551,0.09696517,0.1340753,9.411607
1564921108000,1564921,1398347038561,0.08619126,0.12449849,9.391256
1564931057000,1564931,1398347038571,0.093373865,0.12808979,9.406818
1564941738000,1564942,1398347038582,0.088585466,0.1388637,9.409213
1564951229000,1564951,1398347038591,0.10295067,0.14724341,9.404425
1564961086000,1564961,1398347038601,0.08619126,0.1352724,9.385271
1564971065000,1564971,1398347038611,0.089782566,0.12449849,9.417592
1564981075000,1564981,1398347038621,0.08140286,0.12090719,9.411607
1564991085000,1564991,1398347038631,0.079008654,0.1412579,9.409213
1565001094000,1565001,1398347038641,0.08738836,0.1364695,9.39365
1565011043000,1565011,1398347038651,0.08738836,0.1364695,9.39365
1565021083000,1565021,1398347038661,0.08738836,0.12449849,9.397242
1565031063000,1565031,1398347038671,0.08499416,0.108936176,9.406818
1565041164000,1565041,1398347038681,0.095768064,0.11492168,9.403227
1565051052000,1565051,1398347038691,0.09696517,0.11731588,9.408015
1565061214000,1565061,1398347038701,0.09696517,0.110133275,9.405622
1565071041000,1565071,1398347038711,0.093373865,0.11492168,9.379285
1565081081000,1565081,1398347038721,0.089782566,0.11611878,9.399636
1565091060000,1565091,1398347038731,0.09935937,0.12689269,9.406818
1565101070000,1565101,1398347038741,0.08140286,0.130484,9.384073
1565111843000,1565112,1398347038752,0.107739076,0.12569559,9.39365
1565121090000,1565121,1398347038761,0.08259996,0.1340753,9.408015
1565131069000,1565131,1398347038771,0.09816227,0.1388637,9.405622
1565141079000,1565141,1398347038781,0.09816227,0.1388637,9.405622
1565151058000,1565151,1398347038791,0.08379706,0.12808979,9.416395
1565163295000,1565163,1398347038803,0.089782566,0.12569559,9.41041
1565171016000,1565171,1398347038811,0.089782566,0.12569559,9.41041
1565181209000,1565181,1398347038821,0.108936176,0.11851298,9.400833
1565191036000,1565191,1398347038831,0.10654198,0.12090719,9.411607
1565201046000,1565201,1398347038841,0.093373865,0.12689269,9.411607
1565211025000,1565211,1398347038851,0.093373865,0.10534488,9.409213
