TIMESTAMP,U10,V10,U100,V100,TARGETVAR
20120104 4:00,0.524786858,5.010314953,0.672246154,6.726312458,0.22958368
20120104 5:00,0.525990898,5.001556516,0.679337068,6.712325536,0.30401277
20120104 6:00,0.262306218,4.893535796,0.344544614,6.600430161,0.42261065
20120104 7:00,0.025913103,4.705229406,0.027479446,6.391842586,0.46123484
20120104 8:00,-0.176766902,4.516436435,-0.268819472,6.237986445,0.40409735
20120104 9:00,-0.661192181,4.253196753,-1.011845992,6.286636608,0.31632365
20120104 10:00,-1.024009457,3.167150594,-2.031924663,5.99656001,0.29809228
20120104 11:00,-1.284483365,2.82508498,-2.643262774,5.531950951,0.07649657
20120104 12:00,-1.33384899,2.507348357,-2.86206813,5.114167674,0.07583874
20120104 13:00,-1.352712277,2.072345998,-3.11936702,4.519419429,0.03195188
20120104 14:00,-1.267225463,1.586252757,-3.252068416,3.800613267,0.00714218
20120104 15:00,-1.233512353,1.373617376,-3.349821735,3.408979453,0
20120104 16:00,-1.225084076,1.287979327,-3.393886702,3.224108833,0
20120104 17:00,-1.114713776,1.325932553,-3.080873485,3.13228165,0.00928895
20120104 18:00,-1.246355443,1.385781871,-3.074795559,3.064779548,0.01389672
20120104 19:00,-1.425757348,1.466554121,-2.980587697,2.793554888,0
20120104 20:00,-0.86106276,1.018414107,-2.629587439,2.733958438,0
20120104 21:00,-1.27685778,1.723954846,-1.882002475,2.412867361,0
20120104 22:00,-1.089830291,2.159930365,-1.476300878,2.844029433,0
20120104 23:00,-0.629887151,2.466962232,-0.833560147,3.219243817,0.01945012
20120105 0:00,-0.248607933,2.509294676,-0.327066268,3.252082677,0.0582652
20120105 1:00,0.973580216,3.121492365,1.276498398,4.071186855,0.07301945
20120105 2:00,0.995973743,3.516629479,1.285355229,4.612885435,0.09482192
20120105 3:00,1.158793349,3.769091058,1.514451937,4.966043289,0.18814021
20120105 4:00,1.186318726,4.100302121,1.577040213,5.440527955,0.27807536
20120105 5:00,1.060821666,4.698798195,1.405808138,6.302916651,0.21924631
20120105 6:00,1.077616812,5.218081553,1.437692731,7.122015029,0.21182219
20120105 7:00,0.879340788,5.332036688,1.199148736,7.357833338,0.22526078
20120105 8:00,0.467393191,5.015649058,0.637035164,7.043408926,0.20129686
20120105 9:00,0.117027794,3.962258909,0.205412242,6.159944681,0.18062212
20120105 10:00,-0.044392216,2.355769447,-0.073873178,5.691156109,0.13034489
20120105 11:00,-0.355102409,2.60081931,-0.865673914,6.208931093,0.08251104
20120105 12:00,-0.640619883,2.129248874,-1.707663362,5.326606066,0.0086458
20120105 13:00,-0.746522606,1.819809727,-2.023557019,4.756996624,0.03035429
20120105 14:00,-0.859423307,1.691494392,-2.346536141,4.473900731,0.01569401
20120105 15:00,-1.002648576,1.536774819,-2.650030234,4.054668181,0.01475425
20120105 16:00,-1.163135522,1.458488568,-2.867908288,3.538032417,0.00582652
20120105 17:00,-1.176664945,1.375569994,-3.030283533,3.419553653,0.01278075
20120105 18:00,-1.410863918,1.219923956,-3.64730946,3.253797305,0.01184099
20120105 19:00,-1.575083119,0.934572887,-4.117311985,2.62551809,0.01635185
20120105 20:00,-1.785955502,0.80579432,-4.596171342,2.168691317,0.0436989
20120105 21:00,-2.782000939,1.167578711,-4.087198758,1.681105634,0.03336153
20120105 22:00,-3.143096568,1.190740324,-4.307438635,1.561487651,0.02828682
20120105 23:00,-3.096443386,0.978579951,-4.15805341,1.243645582,0.07734235
20120106 0:00,-2.813725103,0.408341045,-3.7222973,0.461002208,0.08335683
20120106 1:00,-2.588941929,0.099536237,-3.395313992,0.006668173,0.06832065
20120106 2:00,-2.342081664,-0.071169092,-3.041540101,-0.246612312,0.00939468
20120106 3:00,-1.936100626,-0.29443623,-2.482884983,-0.548761032,0
20120106 4:00,-1.10034479,-0.325780428,-1.357576381,-0.607760486,0.21605112
20120106 5:00,-0.803418487,-0.240427764,-0.959503847,-0.483206083,0.35739121
20120106 6:00,-0.827212248,-0.323369336,-0.998880419,-0.596437358,0.49177708
20120106 7:00,-0.27301591,-0.36532234,-0.296254709,-0.607164532,0.33746829
20120106 8:00,-0.340431565,-0.439101762,-0.409462354,-0.735890614,0.18889202
20120106 9:00,-0.733524316,-0.652724531,-0.5571245,-1.237683951,0.2747862
20120106 10:00,-1.021032255,-1.055376929,-0.9287409,-1.653659901,0.41528051
20120106 11:00,-1.277310883,-0.968095392,-1.625829279,-2.257361386,0.28991636
20120106 12:00,-1.307053084,-0.799318937,-1.611678324,-2.560702014,0.2523259
20120106 13:00,-1.43841447,-1.035605973,-1.622137726,-3.545218159,0.27610187
20120106 14:00,-1.373477332,-1.673098752,-1.515697929,-5.05774962,0.20317639
20120106 15:00,-0.79945286,-2.272496274,-0.956427552,-6.317596551,0.1397425
20120106 16:00,-0.417761286,-2.588831571,-0.451915221,-7.228214389,0.16145099
20120106 17:00,-0.43164098,-2.797632156,-0.444532114,-7.735371313,0.2334367
20120106 18:00,-0.4197441,-3.072014449,-0.508519044,-8.126913145,0.30777181
20120106 19:00,-0.549618376,-3.275510631,-0.842604648,-8.368870503,0.33493092
20120106 20:00,-0.620503954,-3.45200258,-1.006263526,-8.469586743,0.4306926
20120106 21:00,-0.865381405,-4.03982686,-1.406797096,-8.11737788,0.23456442
20120106 22:00,-0.753848153,-4.544709567,-1.064097867,-7.564928445,0.17836669
20120106 23:00,-0.617529734,-4.594378067,-0.903515283,-7.435010455,0.0996147
20120107 0:00,-0.43015387,-5.313365762,-0.338092317,-7.918329216,0.06174232
20120107 1:00,-1.868353561,-4.659677993,-2.547139722,-6.990839065,0.11371111
20120107 2:00,-1.436902551,-5.422711539,-1.959126797,-8.389123234,0.08636406
20120107 3:00,-2.191941819,-4.535526454,-3.622875044,-8.855597204,0.03232779
20120107 4:00,-1.309471777,-4.10054296,-2.483861174,-7.76393434,0.01098934
20120107 5:00,-0.637477282,-3.390976135,-0.189118346,-6.905508461,0.00985281
20120107 6:00,1.904933705,-3.443083533,4.484539718,-7.038624204,0
20120107 7:00,3.478966263,-5.33571484,5.722053215,-8.28729538,0.01088068
20120107 8:00,0.915078179,-4.619351398,2.017870268,-7.6734839,0.06578329
20120107 9:00,0.581944545,-4.31123809,1.375533306,-7.170602205,0.02838079
20120107 10:00,0.974259512,-4.256865153,2.028615682,-7.444229009,0.01804048
20120107 11:00,1.756503103,-3.5862656,3.526406981,-6.322415998,0.00986749
20120107 12:00,2.511065102,-3.093737414,4.74481752,-5.461145765,0.06324594
20120107 13:00,2.554496565,-2.692283898,4.831974766,-4.830837035,0.0771544
20120107 14:00,2.56451921,-1.919735088,4.753772032,-3.660101144,0.11314726
20120107 15:00,3.346762801,-1.352444115,5.95845232,-2.533168297,0.22403909
20120107 16:00,3.489466177,-1.73758575,6.134557713,-2.896676671,0.25270181
20120107 17:00,3.429330306,-1.284931051,6.145303127,-2.035975309,0.21614509
20120107 18:00,3.445557446,-1.028018925,6.295141954,-1.617286477,0.26482474
20120107 19:00,3.642192198,-1.281759297,6.230072503,-1.9876213,0.2665163
20120107 20:00,3.833099725,-1.72716427,6.47065038,-2.595744073,0.28596936
20120107 21:00,3.942871553,-2.086478761,6.594819607,-3.103745604,0.3244056
20120107 22:00,4.52895766,-2.494728894,6.732122118,-3.53438072,0.59806409
20120107 23:00,5.283042391,-2.423590969,7.517731265,-3.350066615,0.67615824
20120108 0:00,6.826529745,-2.352906151,9.684126094,-3.333000494,0.56169532
20120108 1:00,8.84149642,-3.075946008,12.70714809,-4.392906012,0.71985713
20120108 2:00,7.604467741,-1.78294331,11.02903277,-2.517780292,0.8719105
20120108 3:00,6.776701485,-0.324452218,9.771387233,-0.340156155,0.93515644
20120108 4:00,6.695289068,-0.89817855,9.498780867,-1.183264189,0.96673242
20120108 5:00,7.200046056,-1.360250061,10.2391733,-1.927361697,0.98458788
20120108 6:00,7.642313513,-0.476482219,10.99354555,-0.745309656,0.97387461
20120108 7:00,7.666517205,-0.166939168,11.39465867,-0.262405559,0.96475893
20120108 8:00,6.708931148,-0.727207106,10.06765174,-1.056919469,0.94333236
20120108 9:00,6.032988049,-0.691816516,9.58588586,-1.072712559,0.71731978
20120108 10:00,5.208302263,-0.37928271,8.784197317,-0.604386699,0.67606428
20120108 11:00,4.748872188,-0.483959105,8.560520299,-0.764747305,0.80462359
20120108 12:00,4.384056544,-0.71524409,7.990574052,-1.111587858,0.68734141
20120108 13:00,4.648536885,-0.94403678,8.119618485,-1.505200254,0.71280894
20120108 14:00,3.931667543,-1.19326629,7.419014749,-1.947406773,0.83056101
20120108 15:00,3.925946671,-1.44748039,7.30610087,-2.342841449,0.89681419
20120108 16:00,4.003838551,-1.454458816,7.622797417,-2.405406382,0.91241423
20120108 17:00,4.130137815,-1.607984194,7.634088805,-2.589456623,0.81778027
20120108 18:00,4.043444592,-1.401123701,7.777113052,-2.301536444,0.86514422
20120108 19:00,4.101973519,-1.152891109,7.605053807,-1.739666897,0.69260405
20120108 20:00,3.899102576,-1.004350321,7.229211895,-1.410441714,0.65266421
20120108 21:00,5.59556133,-0.293547759,8.193819035,-0.601349566,0.72352221
20120108 22:00,6.225297382,0.598693886,9.100893864,0.714336313,0.75622589
20120108 23:00,6.219576509,0.868360216,9.057341368,1.357601016,0.85396109
20120109 0:00,6.388122217,0.355445885,9.095517013,0.745315067,0.50455783
20120109 1:00,6.474846174,-0.024236903,9.110968698,0.012476433,0.72558969
20120109 2:00,6.637078888,-0.368689598,9.404752982,-0.401457874,0.78329102
20120109 3:00,6.434911967,-0.606890745,9.157934212,-0.777926594,0.7468283
20120109 4:00,6.550970755,-0.849539631,9.277346532,-1.203946574,0.77671269
20120109 5:00,7.325943952,-0.269850948,10.34256438,-0.429859206,0.67559439
20120109 6:00,7.024773478,0.008379852,9.955348698,-0.000817807,0.82388871
20120109 7:00,7.406644328,0.684930412,10.66732592,1.024651563,0.85189361
20120109 8:00,6.892075437,0.526788572,10.24013959,0.946698971,0.75246685
20120109 9:00,6.533915521,0.801560019,10.45398257,1.368488966,0.67174136
20120109 10:00,5.409518016,0.485276339,8.848161668,0.932800447,0.72314631
20120109 11:00,4.771402673,-0.41909731,7.938329726,-0.533795996,0.81806219
20120109 12:00,4.722316878,-0.4418302,7.606573323,-0.651631309,0.61732918
20120109 13:00,4.973985576,0.425478956,7.847896128,0.875997783,0.61112676
20120109 14:00,5.00060838,0.923131559,7.875375951,1.509891342,0.46734328
20120109 15:00,4.780554262,1.136623043,7.624560116,1.870648687,0.54910251
20120109 16:00,4.059242655,1.404475785,6.85262692,2.511793651,0.6369702
20120109 17:00,3.546337689,1.457354463,5.787409073,2.668303119,0.62738463
20120109 18:00,3.33834703,1.369882258,5.635520599,2.591559094,0.6562353
20120109 19:00,2.995578423,1.296741657,5.666497853,2.766801355,0.53763744
20120109 20:00,3.144083754,1.074848887,5.591552883,2.309358625,0.46856497
20120109 21:00,3.629949934,0.925108332,5.538092137,1.735893431,0.40569494
20120109 22:00,4.772234636,1.800818772,6.780679748,2.758945668,0.61272435
20120109 23:00,4.567571827,1.438080926,6.47190647,2.228988898,0.58321585
20120110 0:00,4.814248749,1.261159743,6.756197725,1.904488572,0.51498918
20120110 1:00,5.523344002,1.094588861,7.924149109,1.711659983,0.45221313
20120110 2:00,6.603053913,0.835383759,9.291948763,1.301629248,0.57240859
20120110 3:00,6.808031051,0.710048883,9.776895913,1.167318248,0.80951037
20120110 4:00,6.801075739,0.091460623,9.82315241,0.27737138,0.62653885
20120110 5:00,6.587915881,-0.148876864,9.67045623,0.012025258,0.67286907
20120110 6:00,7.348499711,0.868177472,10.68262797,1.268870468,0.88544307
20120110 7:00,7.177071725,2.006074394,10.6736751,3.411840688,0.94239261
20120110 8:00,6.380893064,1.091893487,9.76147708,1.832321491,0.86260688
20120110 9:00,5.729957683,0.423440815,9.005456908,0.808063623,0.92021424
20120110 10:00,5.184170256,-0.104403198,8.905483188,0.030042587,0.97255894
20120110 11:00,4.854815773,-0.853267852,8.533939064,-1.261199341,0.96551073
20120110 12:00,5.76718906,-1.179857296,9.707262476,-1.942035995,0.99022648
20120110 13:00,5.810557476,-1.449394664,9.904225626,-2.039766357,0.99154215
20120110 14:00,5.790918948,-1.081476157,9.895770137,-1.533643199,0.99830843
20120110 15:00,6.293747095,0.202420173,10.36728798,0.575476282,0.99342167
20120110 16:00,6.830942667,1.414439871,11.01836062,2.517525982,0.99633492
20120110 17:00,6.922179996,1.96070227,11.33569014,3.268794013,0.98289632
20120110 18:00,6.486859289,2.494835488,10.68511488,4.241183813,0.98703128
20120110 19:00,6.582597113,4.176748664,10.21011537,6.425102509,0.99060237
20120110 20:00,5.800329076,4.640802166,9.214357219,7.589131174,0.9905084
20120110 21:00,5.739367811,5.562619965,9.113388735,8.955718297,0.98383608
20120110 22:00,5.294636976,5.932335388,8.126086076,9.237443809,0.97970112
20120110 23:00,4.520960795,6.488930053,6.693626802,9.798164934,0.97190111
20120111 0:00,4.597060091,7.282717602,6.623495984,10.69466356,0.91279013
20120111 1:00,4.093565632,7.602277237,5.773927055,10.99841935,0.92284555
20120111 2:00,3.780868453,7.103676814,5.325111792,10.14211066,0.79729348
20120111 3:00,3.530566443,6.783410914,4.939193562,9.662617088,0.80039469
20120111 4:00,3.39603813,6.584625184,4.749603932,9.396832231,0.69485949
20120111 5:00,3.177114038,6.254951729,4.422539355,8.869684077,0.65219433
20120111 6:00,2.903368756,6.189098843,4.066721849,8.783218024,0.44497697
20120111 7:00,2.474176549,6.050848685,3.479083847,8.718859768,0.35692133
20120111 8:00,2.065542289,5.915052671,2.930981123,8.654501513,0.37073582
20120111 9:00,1.598840847,5.229528217,2.40579089,8.128335927,0.23681984
20120111 10:00,0.867410767,3.810214461,1.53062359,7.24304145,0.18438116
20120111 11:00,0.499892398,3.349653283,0.9263628,7.015085492,0.09416408
20120111 12:00,0.481498446,2.792562408,0.956014259,6.468777246,0.20148482
20120111 13:00,0.594386817,2.215020326,1.267354577,5.796700196,0.15214735
20120111 14:00,0.740456433,1.865304689,1.661808832,5.272008464,0.09322432
20120111 15:00,0.857312127,1.657520427,1.923280787,4.812166271,0.1373931
20120111 16:00,1.113745454,1.583487058,2.250794628,4.421595179,0.11869185
20120111 17:00,1.295160311,1.410878872,2.747231931,4.194621789,0.14284371
20120111 18:00,1.270274376,1.401880341,2.751724577,4.130754818,0.13278827
20120111 19:00,1.261979064,1.430921055,2.818215727,4.216729586,0.0641857
20120111 20:00,1.313193597,1.586350227,2.917952452,4.349867657,0.02734705
20120111 21:00,1.59775885,2.379448029,2.46329675,4.312038759,0.04125552
20120111 22:00,1.835437559,4.47937795,2.660074613,6.584229079,0.12038342
20120111 23:00,1.669531328,4.380394108,2.399501187,6.418174954,0.09820505
20120112 0:00,1.745631795,4.314541222,2.426906323,6.070345603,0.0960436
20120112 1:00,1.568687344,2.975646668,2.050510849,4.10770256,0.06578329
20120112 2:00,1.884169946,2.964600668,2.477309527,4.032739333,0.06944836
20120112 3:00,2.139407847,3.0542682,2.865754301,4.180221335,0.1480124
20120112 4:00,2.257758383,3.338215386,3.050834187,4.528148488,0.21191617
20120112 5:00,2.244925192,3.603319394,3.064659431,4.894816448,0.19001973
20120112 6:00,2.177907419,3.614690277,2.984383818,5.019483554,0.15318109
20120112 7:00,2.394645749,3.614690277,3.320203467,5.118483903,0.1870125
20120112 8:00,2.278434079,3.920729463,3.280957612,5.738560164,0.19180528
20120112 9:00,1.565479046,4.300516945,2.252983785,6.520377736,0.18870406
20120112 10:00,1.015077761,3.716703339,1.581790462,6.054709427,0.19518842
20120112 11:00,1.014008329,2.504567242,1.968451333,5.212595346,0.14415938
20120112 12:00,1.363712772,2.009771403,2.827400396,4.595370947,0.16699558
20120112 13:00,1.059993928,1.735570689,2.389006352,4.119110008,0.15308711
20120112 14:00,0.889954153,1.831735868,1.672323515,4.04455419,0.19941734
20120112 15:00,1.205436755,2.478901535,2.004129384,4.591704267,0.15571845
20120112 16:00,1.106692483,2.365192708,1.756612909,4.33707374,0.19283901
20120112 17:00,1.305250459,2.118606995,2.093770485,3.976924321,0.14867023
20120112 18:00,1.402568821,1.7371951,2.41576489,3.519811598,0.09284842
20120112 19:00,1.48883638,2.746929485,2.253429761,4.469889023,0.08617611
20120112 20:00,1.238945641,3.453548625,1.827077059,5.474151824,0.02603139
20120112 21:00,1.093146337,4.017544407,1.530949241,5.862412453,0.16004135
20120112 22:00,0.988698425,4.244962061,1.338287768,6.002968504,0.09378818
20120112 23:00,0.931305545,4.201102942,1.265147765,5.898264431,0.11577859
20120113 0:00,0.954833061,3.781354929,1.286554595,5.2288917,0.1877643
20120113 1:00,1.420795915,4.071117147,1.929763659,5.57295256,0.21407762
20120113 2:00,1.329871972,4.155061593,1.771357691,5.585450585,0.23127525
20120113 3:00,1.129759889,4.32020464,1.494738314,5.807530876,0.2310873
20120113 4:00,0.944735621,4.253912063,1.230413131,5.688799638,0.2747862
20120113 5:00,0.796636797,4.308044463,1.023776092,5.772440268,0.38248284
20120113 6:00,0.601686335,4.430038495,0.764652299,5.98586808,0.35090686
20120113 7:00,0.362266521,4.579490991,0.424197681,6.27524543,0.41772389
20120113 8:00,-0.038751742,4.773269293,-0.126203952,6.704985216,0.43520344
20120113 9:00,-0.37068369,4.416701527,-0.639250147,6.783818912,0.35250446
20120113 10:00,-0.384580362,3.520771079,-0.830283017,6.760745635,0.20411615
20120113 11:00,-0.431432001,3.288158664,-0.944240743,6.61749904,0.11991354
20120113 12:00,-0.452078486,2.970425011,-1.016114496,6.131998835,0.09707734
20120113 13:00,-0.482651165,2.824502888,-1.131963637,5.824355141,0.03721455
20120113 14:00,-0.853096748,3.42937362,-1.764641802,6.30168356,0.01954704
20120113 15:00,-1.083781511,3.731808986,-1.922574917,6.118539424,0.09905084
20120113 16:00,-0.753437754,3.222650614,-1.384940332,5.505655502,0.08645804
20120113 17:00,-0.777260621,3.72906314,-1.231735754,5.641211004,0.10149422
20120113 18:00,-0.835626646,3.567450467,-1.315903701,5.364812373,0.07856404
20120113 19:00,-0.88684581,3.129291837,-1.520649326,5.108602859,0.0873978
20120113 20:00,-1.379582111,3.719256546,-2.106042128,5.54507235,0.04849168
20120113 21:00,-1.820305152,4.129564448,-2.64982381,5.948374005,0.07301945
20120113 22:00,-1.783776755,3.98403459,-2.50040206,5.580643652,0.07969176
20120113 23:00,-1.589620389,3.98089648,-2.214798464,5.476333212,0.14162202
20120114 0:00,-1.474079483,4.060526025,-2.043152594,5.522960459,0.18165586
20120114 1:00,-1.715391849,4.218506637,-2.339624173,5.706196523,0.22779814
20120114 2:00,-1.672584902,4.328850437,-2.283350337,5.813421825,0.25740061
20120114 3:00,-1.568242969,4.476901651,-2.175436981,5.985492903,0.3165116
20120114 4:00,-1.485839597,4.481267773,-2.070171806,5.985492903,0.29508504
20120114 5:00,-1.354208236,4.619395983,-1.907308705,6.193305749,0.30758387
20120114 6:00,-1.369190667,4.75037963,-1.943721187,6.422053059,0.3389719
20120114 7:00,-1.510988678,4.921055292,-2.165506304,6.748324333,0.38379851
20120114 8:00,-1.71860237,4.987340956,-2.534927485,7.030173697,0.40484916
20120114 9:00,-1.79297944,4.503892221,-2.889783672,6.918353025,0.4184757
20120114 10:00,-1.641549866,3.655673873,-3.256556672,6.773854167,0.35936472
20120114 11:00,-1.876452986,3.479441329,-3.732567117,6.544085664,0.28014284
20120114 12:00,-2.129549058,3.184529662,-4.233073232,6.043190328,0.25552109
20120114 13:00,-2.289004935,2.809837046,-4.623679856,5.410050453,0.19424866
20120114 14:00,-2.286864587,2.392673975,-4.927558569,4.872902753,0.29104407
20120114 15:00,-2.196434912,2.192626222,-4.896442448,4.615051433,0.18203176
20120114 16:00,-2.11403154,2.181115538,-4.771977964,4.721255541,0.17789681
20120114 17:00,-2.106005237,2.219616792,-4.785218867,4.88413588,0.2188704
20120114 18:00,-2.150417445,2.171589455,-4.909021305,4.825417262,0.16182689
20120114 19:00,-2.186268263,2.040605807,-5.028851473,4.568587136,0.11577859
20120114 20:00,-2.493408105,2.033064324,-5.219520469,4.135601157,0.09886289
20120114 21:00,-4.479650433,3.058309056,-6.509846419,4.428683647,0.21163424
20120114 22:00,-3.868581268,2.619712297,-5.453884444,3.656150881,0.39714312
20120114 23:00,-3.484924009,2.502620855,-4.80243204,3.393193594,0.4078564
20120115 0:00,-3.21095955,2.332342113,-4.360847941,3.082750817,0.2920778
20120115 1:00,-3.195887529,2.176265642,-4.313077342,2.824257709,0.21135231
20120115 2:00,-3.023094759,1.954706421,-4.053896671,2.485850185,0.19124142
20120115 3:00,-2.797712885,2.00817061,-3.736651083,2.548809724,0.26698618
20120115 4:00,-2.681682958,2.039433567,-3.577764358,2.58647302,0.29358142
20120115 5:00,-2.642032443,1.995031106,-3.535007465,2.532507701,0.38624189
20120115 6:00,-2.663318509,1.912116305,-3.583042987,2.42570134,0.46085893
20120115 7:00,-2.721333472,1.85955829,-3.702339997,2.38972446,0.44873601
20120115 8:00,-2.929603019,1.67741758,-4.21172767,2.258183994,0.46978666
20120115 9:00,-2.051448458,1.26012506,-4.596011843,2.524637758,0.55897002
20120115 10:00,-1.873647202,1.423236143,-5.118068225,3.331868995,0.61422797
20120115 11:00,-1.997189859,1.478512677,-5.468569174,3.461160906,0.67164739
20120115 12:00,-2.165391516,1.184006555,-5.797955608,2.684285162,0.66723051
20120115 13:00,-2.161635152,0.817006618,-5.71033037,1.765188315,0.72361619
20120115 14:00,-2.123654132,0.594541225,-5.51554897,1.149084252,0.59928577
20120115 15:00,-2.048944215,0.403791875,-5.310210312,0.599312561,0.59327129
20120115 16:00,-1.952948231,0.157312906,-5.132320523,-0.42996348,0.41133351
20120115 17:00,-2.005119962,-0.236419125,-5.245811041,-1.878595023,0.39582745
20120115 18:00,-2.078577758,-0.951842458,-5.210972091,-3.843269933,0.2708392
