Index,Arrival_Time,Creation_Time,x,y,z
100933,1425047341763,1734456474000,-0.17058687,-0.7332243,9.387665
100934,1425047341774,1734466652000,-0.15981296,-0.74399817,9.375095
100935,1425047341783,1734476371000,-0.18614918,-0.741604,9.361927
100936,1425047341793,1734486410000,-0.18674773,-0.7517793,9.339781
100937,1425047341803,1734496253000,-0.20709845,-0.7326257,9.369708
100938,1425047341813,1734506302000,-0.20949265,-0.74519527,9.366715
100939,1425047341823,1734516153000,-0.20829555,-0.74519527,9.375095
100940,1425047341833,1734526330000,-0.17896658,-0.74399817,9.340978
100941,1425047341843,1734536178000,-0.1933318,-0.75357497,9.339781
100942,1425047341853,1734546100000,-0.19752164,-0.7158663,9.34038
100943,1425047341863,1734556143000,-0.20410569,-0.7194576,9.340978
100944,1425047341873,1734566136000,-0.17477672,-0.729633,9.385869
100945,1425047341883,1734575843000,-0.18076223,-0.7308301,9.368511
100946,1425047341893,1734586020000,-0.18016368,-0.729633,9.4217825
100947,1425047341903,1734595778000,-0.16938977,-0.7392098,9.3421755
100948,1425047341913,1734605779000,-0.17896658,-0.741604,9.357738
100949,1425047341923,1734615767000,-0.17896658,-0.7404069,9.36911
100950,1425047341933,1734625770000,-0.17956513,-0.717662,9.362526
100951,1425047341943,1734635539000,-0.18674773,-0.7517793,9.338584
100952,1425047341953,1734645773000,-0.18255788,-0.7404069,9.354146
100953,1425047341962,1734655424000,-0.18854338,-0.7445967,9.362526
100954,1425047341972,1734665458000,-0.19692309,-0.7338228,9.349358
100955,1425047341982,1734675321000,-0.20231004,-0.748188,9.348759
100956,1425047341992,1734685358000,-0.19752164,-0.7445967,9.331401
100957,1425047342002,1734695214000,-0.20111294,-0.7469909,9.333197
100958,1425047342012,1734705388000,-0.19273324,-0.7260417,9.372701
100959,1425047342022,1734715200000,-0.19153613,-0.7428011,9.367912
100960,1425047342032,1734725199000,-0.19273324,-0.7386112,9.362526
100961,1425047342042,1734734994000,-0.19153613,-0.7314286,9.377489
100962,1425047342052,1734745195000,-0.18375498,-0.7248446,9.389461
100963,1425047342062,1734754896000,-0.18255788,-0.7356185,9.340978
100964,1425047342072,1734765199000,-0.21068975,-0.75118077,9.34397
100965,1425047342082,1734774789000,-0.16819267,-0.7338228,9.355343
100966,1425047342092,1734784837000,-0.18136078,-0.7433996,9.345766
100967,1425047342102,1734794684000,-0.17717093,-0.7422025,9.359533
100968,1425047342112,1734804726000,-0.1933318,-0.76075757,9.363124
100969,1425047342121,1734814582000,-0.19991584,-0.7553706,9.384073
100970,1425047342132,1734824755000,-0.2220622,-0.7457938,9.354146
100971,1425047342141,1734834481000,-0.19033903,-0.736217,9.357738
100972,1425047342151,1734844517000,-0.2112883,-0.724246,9.3583355
100973,1425047342161,1734854372000,-0.20111294,-0.7422025,9.352949
100974,1425047342171,1734864412000,-0.20290859,-0.7445967,9.356541
100975,1425047342181,1734874270000,-0.19991584,-0.7326257,9.363723
100976,1425047342191,1734884436000,-0.17836803,-0.7212533,9.3733
100977,1425047342201,1734894168000,-0.16819267,-0.7589619,9.370307
100978,1425047342211,1734904201000,-0.18076223,-0.7314286,9.366715
100979,1425047342221,1734914061000,-0.18136078,-0.7230489,9.354745
100980,1425047342231,1734924093000,-0.1592144,-0.7218518,9.400833
100981,1425047342241,1734933956000,-0.18016368,-0.7386112,9.376292
100982,1425047342251,1734944125000,-0.17956513,-0.74519527,9.317036
100983,1425047342261,1734953847000,-0.17477672,-0.7428011,9.334992
100984,1425047342271,1734963885000,-0.19812019,-0.7188591,9.329007
100985,1425047342281,1734973746000,-0.17238252,-0.7469909,9.3499565
100986,1425047342291,1734983779000,-0.20290859,-0.736217,9.344569
100987,1425047342301,1734993636000,-0.18315643,-0.729633,9.365519
100988,1425047342311,1735003805000,-0.20051439,-0.74519527,9.357738
100989,1425047342320,1735013532000,-0.19931729,-0.7356185,9.351752
100990,1425047342330,1735023566000,-0.19871874,-0.7290344,9.346964
100991,1425047342340,1735033421000,-0.1921347,-0.7344214,9.359533
100992,1425047342350,1735043462000,-0.18016368,-0.7398083,9.354146
100993,1425047342360,1735053325000,-0.18195933,-0.7356185,9.356541
100994,1425047342370,1735063489000,-0.17836803,-0.7308301,9.361927
100995,1425047342380,1735073212000,-0.17178397,-0.741604,9.372103
100996,1425047342391,1735083650000,-0.17238252,-0.7380127,9.388264
100997,1425047342400,1735093122000,-0.18495208,-0.74639237,9.337985
100998,1425047342410,1735103159000,-0.16759412,-0.7194576,9.359533
100999,1425047342420,1735113004000,-0.17537527,-0.7326257,9.374496
101000,1425047342430,1735123175000,-0.1933318,-0.7398083,9.339781
101001,1425047342440,1735132905000,-0.18076223,-0.7553706,9.3583355
101002,1425047342450,1735142941000,-0.19093758,-0.7445967,9.360131
101003,1425047342460,1735152793000,-0.20231004,-0.7493851,9.344569
101004,1425047342470,1735162833000,-0.20051439,-0.7326257,9.351153
101005,1425047342480,1735172686000,-0.19692309,-0.7380127,9.350554
101006,1425047342490,1735182863000,-0.21308395,-0.7469909,9.344569
101007,1425047342500,1735192581000,-0.20171149,-0.7356185,9.354146
101008,1425047342510,1735202624000,-0.18555063,-0.7332243,9.386468
101009,1425047342519,1735212480000,-0.19093758,-0.7338228,9.357139
101010,1425047342529,1735222520000,-0.17298107,-0.7392098,9.39365
101011,1425047342539,1735232381000,-0.17477672,-0.75596917,9.350554
101012,1425047342550,1735242549000,-0.18315643,-0.7290344,9.343372
101013,1425047342559,1735252280000,-0.18195933,-0.7332243,9.3260145
101014,1425047342569,1735262306000,-0.18614918,-0.7422025,9.367314
101015,1425047342579,1735272161000,-0.19692309,-0.7625532,9.333796
101016,1425047342589,1735282198000,-0.19632454,-0.7433996,9.343372
101017,1425047342601,1735292749000,-0.20231004,-0.7290344,9.342773
101018,1425047342610,1735302569000,-0.18614918,-0.7338228,9.323022
101019,1425047342620,1735312461000,-0.21547815,-0.724246,9.36073
101020,1425047342630,1735322453000,-0.20949265,-0.7392098,9.324219
101021,1425047342639,1735332049000,-0.20350714,-0.736217,9.353547
101022,1425047342649,1735341734000,-0.20470424,-0.7308301,9.361927
101023,1425047342658,1735351575000,-0.19632454,-0.74758947,9.359533
101024,1425047342668,1735361741000,-0.18435353,-0.7326257,9.380483
101025,1425047342678,1735371461000,-0.19572599,-0.7350199,9.351752
101026,1425047342688,1735381500000,-0.18555063,-0.7386112,9.344569
101027,1425047342698,1735391354000,-0.19752164,-0.74399817,9.372701
101028,1425047342708,1735401391000,-0.17357962,-0.748188,9.3738985
101029,1425047342718,1735411250000,-0.18255788,-0.7308301,9.36073
101030,1425047342728,1735421422000,-0.18136078,-0.7332243,9.34397
101031,1425047342738,1735431146000,-0.18974048,-0.7290344,9.367314
101032,1425047342748,1735441272000,-0.18734628,-0.736217,9.379285
101033,1425047342758,1735451131000,-0.1933318,-0.7338228,9.36073
101034,1425047342768,1735461172000,-0.20051439,-0.7272388,9.339781
101035,1425047342778,1735471023000,-0.1921347,-0.7338228,9.338584
101036,1425047342788,1735481195000,-0.2160767,-0.7224504,9.35235
101037,1425047342798,1735490919000,-0.20530279,-0.7206547,9.331401
101038,1425047342808,1735500957000,-0.18255788,-0.7188591,9.361329
101039,1425047342818,1735510812000,-0.1933318,-0.7230489,9.300875
101040,1425047342828,1735520955000,-0.17956513,-0.729633,9.3421755
101041,1425047342838,1735530706000,-0.18255788,-0.7398083,9.348161
101042,1425047342848,1735541007000,-0.17477672,-0.724246,9.35235
101043,1425047342858,1735550711000,-0.17058687,-0.7290344,9.382876
101044,1425047342868,1735560711000,-0.17417817,-0.7386112,9.341577
101045,1425047342877,1735570510000,-0.18914193,-0.7110779,9.351752
101046,1425047342888,1735580650000,-0.18734628,-0.75118077,9.388264
101047,1425047342897,1735590400000,-0.19931729,-0.74519527,9.368511
101048,1425047342908,1735600666000,-0.18555063,-0.7380127,9.351752
101049,1425047342917,1735610295000,-0.19273324,-0.7386112,9.336189
101050,1425047342927,1735620336000,-0.1945289,-0.7140707,9.352949
101051,1425047342937,1735630190000,-0.18794483,-0.7344214,9.346365
101052,1425047342947,1735640234000,-0.20051439,-0.74758947,9.363723
101053,1425047342957,1735650165000,-0.1945289,-0.7404069,9.379884
101054,1425047342967,1735660265000,-0.18794483,-0.7404069,9.38168
101055,1425047342977,1735669984000,-0.18734628,-0.7290344,9.325416
101056,1425047342987,1735680127000,-0.1921347,-0.7320272,9.352949
101057,1425047342997,1735689882000,-0.17896658,-0.7422025,9.364322
101058,1425047343007,1735699918000,-0.18195933,-0.7493851,9.376891
101059,1425047343017,1735709777000,-0.18794483,-0.7260417,9.358934
101060,1425047343027,1735719947000,-0.18076223,-0.7188591,9.368511
101061,1425047343037,1735729668000,-0.17477672,-0.724246,9.365519
101062,1425047343047,1735739716000,-0.2100912,-0.7314286,9.385271
101063,1425047343056,1735749582000,-0.2100912,-0.7164649,9.36492
101064,1425047343066,1735759612000,-0.19991584,-0.7326257,9.34397
101065,1425047343076,1735769472000,-0.19153613,-0.7356185,9.365519
101066,1425047343086,1735779645000,-0.20350714,-0.7278373,9.363723
101067,1425047343096,1735789367000,-0.18255788,-0.7266402,9.38168
101068,1425047343106,1735799402000,-0.17717093,-0.7493851,9.352949
101069,1425047343116,1735809263000,-0.19692309,-0.7326257,9.342773
101070,1425047343126,1735819305000,-0.19153613,-0.7170634,9.362526
101071,1425047343136,1735829164000,-0.19812019,-0.7320272,9.322423
101072,1425047343146,1735839328000,-0.18794483,-0.7140707,9.384073
101073,1425047343156,1735849058000,-0.18734628,-0.7272388,9.372103
101074,1425047343166,1735859098000,-0.16759412,-0.7164649,9.355343
101075,1425047343176,1735868952000,-0.18255788,-0.7314286,9.336189
101076,1425047343186,1735878993000,-0.17896658,-0.736217,9.353547
101077,1425047343196,1735888847000,-0.17956513,-0.7272388,9.345168
101078,1425047343206,1735899021000,-0.18734628,-0.712275,9.333197
101079,1425047343216,1735908738000,-0.19033903,-0.7158663,9.36073
101080,1425047343226,1735918778000,-0.1945289,-0.7422025,9.337387
101081,1425047343235,1735928638000,-0.19093758,-0.7308301,9.330204
101082,1425047343246,1735938970000,-0.2184709,-0.724246,9.376891
101083,1425047343256,1735948825000,-0.19871874,-0.7302315,9.3738985
101084,1425047343266,1735958759000,-0.20410569,-0.7302315,9.348161
101085,1425047343275,1735968474000,-0.18315643,-0.7206547,9.358934
101086,1425047343285,1735978512000,-0.17896658,-0.7170634,9.337985
101087,1425047343295,1735988364000,-0.18195933,-0.7326257,9.370307
101088,1425047343305,1735998392000,-0.16460137,-0.7410054,9.34397
101089,1425047343316,1736008375000,-0.17537527,-0.7445967,9.361927
101090,1425047343326,1736018501000,-0.16879122,-0.7098808,9.365519
101091,1425047343335,1736028185000,-0.18495208,-0.7134721,9.378687
101092,1425047343345,1736038209000,-0.17178397,-0.7350199,9.351153
101093,1425047343355,1736048066000,-0.20410569,-0.7236475,9.343372
101094,1425047343365,1736058098000,-0.20051439,-0.7428011,9.351752
101095,1425047343375,1736067952000,-0.20530279,-0.741604,9.391256
101096,1425047343385,1736078511000,-0.1945289,-0.7428011,9.398438
101097,1425047343395,1736087844000,-0.19991584,-0.7338228,9.374496
101098,1425047343405,1736097887000,-0.18854338,-0.724246,9.362526
101099,1425047343415,1736107735000,-0.2100912,-0.7368156,9.331401
101100,1425047343425,1736117780000,-0.20410569,-0.7404069,9.322423
101101,1425047343435,1736127644000,-0.19393034,-0.736217,9.3661175
101102,1425047343445,1736137800000,-0.18375498,-0.717662,9.358934
101103,1425047343454,1736147530000,-0.20231004,-0.7350199,9.355343
101104,1425047343465,1736157560000,-0.18854338,-0.7254431,9.378088
101105,1425047343474,1736167419000,-0.18794483,-0.74639237,9.375694
101106,1425047343484,1736177461000,-0.17896658,-0.7200562,9.354146
101107,1425047343494,1736187314000,-0.16340427,-0.7326257,9.375095
101108,1425047343504,1736197487000,-0.18794483,-0.7158663,9.380483
101109,1425047343514,1736207209000,-0.18315643,-0.7326257,9.309255
101110,1425047343524,1736217245000,-0.19632454,-0.7272388,9.320028
101111,1425047343534,1736227105000,-0.18914193,-0.7433996,9.342773
101112,1425047343544,1736237134000,-0.20709845,-0.7260417,9.387665
101113,1425047343554,1736247006000,-0.1933318,-0.717662,9.344569
101114,1425047343564,1736257183000,-0.19093758,-0.7146692,9.339781
101115,1425047343574,1736266898000,-0.2100912,-0.741604,9.367314
101116,1425047343584,1736276936000,-0.17238252,-0.7374141,9.349358
101117,1425047343594,1736286788000,-0.17477672,-0.7445967,9.383475
101118,1425047343604,1736296823000,-0.19393034,-0.7026982,9.36911
101119,1425047343614,1736306685000,-0.17657238,-0.7062895,9.330803
101120,1425047343624,1736316853000,-0.17357962,-0.7445967,9.365519
101121,1425047343634,1736326578000,-0.18016368,-0.7428011,9.340978
101122,1425047343644,1736336612000,-0.18555063,-0.748188,9.325416
101123,1425047343653,1736346477000,-0.19153613,-0.7338228,9.375095
101124,1425047343663,1736356512000,-0.16998832,-0.7350199,9.348759
101125,1425047343673,1736366372000,-0.19033903,-0.7326257,9.329007
101126,1425047343683,1736376543000,-0.18555063,-0.7290344,9.3738985
101127,1425047343693,1736386258000,-0.20829555,-0.7374141,9.377489
101128,1425047343703,1736396300000,-0.18794483,-0.7356185,9.36073
101129,1425047343713,1736406160000,-0.20949265,-0.7493851,9.339182
101130,1425047343723,1736416198000,-0.18136078,-0.724246,9.351153
101131,1425047343733,1736426058000,-0.1933318,-0.7326257,9.338584
101132,1425047343743,1736436293000,-0.17956513,-0.7338228,9.322423
101133,1425047343753,1736446158000,-0.1933318,-0.7248446,9.35235
101134,1425047343763,1736456006000,-0.19153613,-0.724246,9.331401
101135,1425047343773,1736465845000,-0.18255788,-0.7170634,9.355942
101136,1425047343783,1736475874000,-0.17717093,-0.7194576,9.35235
101137,1425047343793,1736485802000,-0.18734628,-0.7392098,9.354146
101138,1425047343803,1736496080000,-0.19273324,-0.7170634,9.325416
101139,1425047343813,1736505801000,-0.19033903,-0.7146692,9.36073
101140,1425047343823,1736515809000,-0.18136078,-0.7212533,9.348161
101141,1425047343832,1736525533000,-0.18614918,-0.7428011,9.356541
101142,1425047343843,1736535766000,-0.18734628,-0.7410054,9.370906
101143,1425047343852,1736545421000,-0.18136078,-0.741604,9.363723
101144,1425047343863,1736555739000,-0.20051439,-0.7320272,9.361329
101145,1425047343875,1736566071000,-0.19752164,-0.7182605,9.357139
101146,1425047343884,1736576059000,-0.19752164,-0.7182605,9.357139
101147,1425047343894,1736586060000,-0.17657238,-0.7428011,9.3499565
101148,1425047343904,1736596082000,-0.18016368,-0.7320272,9.378687
101149,1425047343914,1736605904000,-0.19692309,-0.7350199,9.34038
101150,1425047343924,1736616158000,-0.20709845,-0.7092823,9.349358
101151,1425047343934,1736625565000,-0.20111294,-0.7314286,9.323022
101152,1425047343946,1736635562000,-0.16639702,-0.7290344,9.3661175
101153,1425047343952,1736644853000,-0.17896658,-0.7302315,9.356541
101154,1425047343962,1736654898000,-0.16280572,-0.7338228,9.34397
101155,1425047343971,1736664665000,-0.18674773,-0.712275,9.345168
101156,1425047343982,1736674804000,-0.16879122,-0.74639237,9.370307
101157,1425047343991,1736684515000,-0.18854338,-0.7206547,9.374496
101158,1425047344001,1736694549000,-0.18016368,-0.7200562,9.329605
101159,1425047344011,1736704403000,-0.20111294,-0.7146692,9.358934
101160,1425047344021,1736714442000,-0.19093758,-0.7266402,9.346964
101161,1425047344031,1736724296000,-0.19991584,-0.7266402,9.361329
101162,1425047344041,1736734471000,-0.18614918,-0.7350199,9.346964
101163,1425047344051,1736744287000,-0.1933318,-0.7158663,9.339182
101164,1425047344061,1736754326000,-0.17537527,-0.7230489,9.378687
101165,1425047344071,1736764178000,-0.15322891,-0.7356185,9.35235
101166,1425047344081,1736774216000,-0.18854338,-0.7284359,9.329605
101167,1425047344091,1736784071000,-0.18435353,-0.7272388,9.354146
101168,1425047344101,1736794243000,-0.19273324,-0.7170634,9.366715
101169,1425047344111,1736803967000,-0.18136078,-0.7164649,9.381081
101170,1425047344121,1736814007000,-0.18375498,-0.7224504,9.301474
101171,1425047344131,1736823866000,-0.19572599,-0.7158663,9.357738
101172,1425047344141,1736833897000,-0.18016368,-0.7350199,9.396643
101173,1425047344151,1736843770000,-0.18076223,-0.7344214,9.367314
101174,1425047344161,1736853946000,-0.18974048,-0.7224504,9.396045
101175,1425047344171,1736863665000,-0.19632454,-0.7302315,9.382876
101176,1425047344181,1736873699000,-0.18315643,-0.7146692,9.368511
101177,1425047344190,1736883558000,-0.20111294,-0.7314286,9.340978
101178,1425047344200,1736893596000,-0.19812019,-0.7074866,9.35235
101179,1425047344210,1736903452000,-0.17836803,-0.7278373,9.35235
101180,1425047344220,1736913621000,-0.18435353,-0.7116765,9.372701
101181,1425047344230,1736923349000,-0.18315643,-0.7445967,9.36492
101182,1425047344240,1736933384000,-0.17657238,-0.7290344,9.3822775
101183,1425047344250,1736943248000,-0.19393034,-0.7308301,9.351752
101184,1425047344260,1736953287000,-0.17298107,-0.7338228,9.367912
101185,1425047344270,1736963145000,-0.18315643,-0.7422025,9.388264
101186,1425047344280,1736973312000,-0.19033903,-0.7356185,9.357738
101187,1425047344290,1736983032000,-0.17657238,-0.7236475,9.3499565
101188,1425047344300,1736993074000,-0.18674773,-0.7236475,9.380483
101189,1425047344310,1737002930000,-0.2088941,-0.7164649,9.357139
101190,1425047344320,1737012972000,-0.1921347,-0.7320272,9.362526
101191,1425047344330,1737022825000,-0.20590134,-0.7374141,9.347562
101192,1425047344340,1737032995000,-0.19931729,-0.7386112,9.347562
101193,1425047344350,1737042734000,-0.18914193,-0.736217,9.376891
101194,1425047344360,1737052776000,-0.18614918,-0.7326257,9.35235
101195,1425047344369,1737062629000,-0.19273324,-0.7212533,9.34397
101196,1425047344380,1737073048000,-0.19273324,-0.74519527,9.362526
101197,1425047344389,1737082528000,-0.17896658,-0.75357497,9.334992
101198,1425047344400,1737092694000,-0.18435353,-0.7445967,9.396045
101199,1425047344409,1737102418000,-0.18614918,-0.724246,9.345168
101200,1425047344419,1737112453000,-0.18734628,-0.7260417,9.34038
101201,1425047344429,1737122314000,-0.17298107,-0.7332243,9.392453
101202,1425047344439,1737132349000,-0.1921347,-0.7422025,9.361927
101203,1425047344449,1737142217000,-0.17956513,-0.7320272,9.350554
101204,1425047344459,1737152384000,-0.18555063,-0.7236475,9.357139
101205,1425047344469,1737162124000,-0.18794483,-0.7254431,9.3661175
101206,1425047344479,1737172149000,-0.19393034,-0.729633,9.372701
101207,1425047344489,1737182004000,-0.19273324,-0.7469909,9.334992
101208,1425047344499,1737192043000,-0.17058687,-0.7248446,9.372103
101209,1425047344509,1737201900000,-0.18255788,-0.7398083,9.382876
101210,1425047344519,1737212069000,-0.207697,-0.7308301,9.330204
101211,1425047344529,1737221793000,-0.1933318,-0.7110779,9.3738985
101212,1425047344539,1737231832000,-0.19931729,-0.7410054,9.379285
101213,1425047344549,1737241743000,-0.19033903,-0.7188591,9.367912
101214,1425047344559,1737251790000,-0.17717093,-0.717662,9.362526
101215,1425047344569,1737261638000,-0.17238252,-0.7368156,9.396643
101216,1425047344579,1737271800000,-0.18016368,-0.7332243,9.376891
101217,1425047344588,1737281530000,-0.18734628,-0.7200562,9.347562
101218,1425047344599,1737291564000,-0.18734628,-0.7290344,9.399037
101219,1425047344608,1737301423000,-0.20709845,-0.7146692,9.3738985
101220,1425047344618,1737311455000,-0.19991584,-0.736217,9.3343935
101221,1425047344628,1737321319000,-0.19871874,-0.7224504,9.346365
101222,1425047344638,1737331494000,-0.18674773,-0.7206547,9.353547
101223,1425047344648,1737341220000,-0.20171149,-0.7092823,9.342773
101224,1425047344658,1737351245000,-0.17896658,-0.7338228,9.36492
101225,1425047344668,1737361106000,-0.20470424,-0.7200562,9.357738
101226,1425047344678,1737371153000,-0.18674773,-0.7368156,9.401431
101227,1425047344688,1737381008000,-0.17537527,-0.7266402,9.3822775
101228,1425047344698,1737391175000,-0.16819267,-0.7326257,9.333197
101229,1425047344708,1737400929000,-0.17896658,-0.7230489,9.340978
101230,1425047344718,1737411106000,-0.16519992,-0.7206547,9.332599
101231,1425047344728,1737420808000,-0.17537527,-0.7398083,9.357139
101232,1425047344738,1737430823000,-0.18495208,-0.712275,9.366715
101233,1425047344748,1737440805000,-0.17776948,-0.7152678,9.380483
101234,1425047344758,1737450858000,-0.17956513,-0.7332243,9.354745
101235,1425047344768,1737460753000,-0.18136078,-0.7212533,9.358934
101236,1425047344778,1737470765000,-0.19093758,-0.7266402,9.327211
101237,1425047344787,1737480476000,-0.17597382,-0.7326257,9.362526
101238,1425047344797,1737490516000,-0.1921347,-0.7398083,9.361927
101239,1425047344807,1737500385000,-0.19033903,-0.729633,9.381081
101240,1425047344818,1737510544000,-0.19093758,-0.7278373,9.3260145
101241,1425047344827,1737520259000,-0.18854338,-0.724246,9.3421755
101242,1425047344837,1737530299000,-0.18974048,-0.729633,9.366715
101243,1425047344847,1737540230000,-0.17477672,-0.729633,9.347562
101244,1425047344857,1737550231000,-0.18914193,-0.7260417,9.334992
101245,1425047344867,1737560218000,-0.17238252,-0.7410054,9.357139
101246,1425047344877,1737570229000,-0.17956513,-0.7392098,9.355343
101247,1425047344887,1737579947000,-0.1921347,-0.7320272,9.397242
101248,1425047344897,1737589977000,-0.18734628,-0.724246,9.384672
101249,1425047344907,1737599834000,-0.18136078,-0.7457938,9.3733
101250,1425047344917,1737609902000,-0.19153613,-0.7254431,9.346365
101251,1425047344927,1737619737000,-0.17836803,-0.7158663,9.362526
101252,1425047344937,1737629907000,-0.17717093,-0.705691,9.374496
101253,1425047344947,1737639628000,-0.20111294,-0.7260417,9.351752
101254,1425047344957,1737649659000,-0.19393034,-0.7392098,9.354745
101255,1425047344966,1737659520000,-0.19153613,-0.724246,9.338584
101256,1425047344976,1737669559000,-0.18974048,-0.7302315,9.351752
101257,1425047344986,1737679413000,-0.1921347,-0.717662,9.3499565
101258,1425047344997,1737689594000,-0.19153613,-0.7164649,9.345766
101259,1425047345009,1737699714000,-0.18674773,-0.7356185,9.360131
101260,1425047345018,1737709623000,-0.17597382,-0.7200562,9.348161
101261,1425047345028,1737719555000,-0.17956513,-0.74639237,9.328408
101262,1425047345038,1737729525000,-0.18794483,-0.7290344,9.360131
101263,1425047345046,1737739065000,-0.18614918,-0.7200562,9.343372
101264,1425047345056,1737749191000,-0.18555063,-0.7206547,9.39365
101265,1425047345066,1737758918000,-0.19512744,-0.7517793,9.330204
101266,1425047345077,1737768946000,-0.17597382,-0.7266402,9.358934
101267,1425047345086,1737778814000,-0.18195933,-0.7410054,9.358934
101268,1425047345096,1737788848000,-0.19093758,-0.7194576,9.352949
101269,1425047345106,1737798702000,-0.19931729,-0.7236475,9.370307
101270,1425047345116,1737808872000,-0.18315643,-0.7266402,9.384073
101271,1425047345125,1737818598000,-0.19752164,-0.7290344,9.357139
101272,1425047345135,1737828635000,-0.19273324,-0.7344214,9.360131
